speed,acceleration,brake_force,steering_rate,following_distance,blink_frequency,risk_score,risk_label
117.8,1.09,0.0,22.5,19.2,32.8,0.2252,2
98.5,-0.13,0.028,12.9,23.4,38.0,0.2407,2
53.9,0.57,0.003,1.6,37.3,12.3,0.0,0
106.3,-0.15,0.039,12.5,37.3,33.4,0.1455,1
87.7,-3.83,0.543,10.1,20.0,33.6,0.1849,1
49.5,0.83,0.004,38.1,54.3,21.4,0.0088,0
67.7,-1.11,0.187,6.1,7.7,21.5,0.0548,0
38.3,-2.48,0.297,8.1,13.3,11.7,0.0778,0
157.8,0.7,0.001,12.4,27.2,21.0,0.3088,2
17.0,0.58,0.003,9.4,40.9,10.2,0.0002,0
12.2,1.77,0.003,9.6,10.3,45.7,0.0429,0
46.3,-0.47,0.044,6.0,10.6,0.0,0.096,0
81.1,1.55,0.006,14.7,15.6,7.8,0.0517,0
29.3,0.04,0.002,0.1,8.5,22.2,0.0942,0
33.9,0.62,0.003,1.7,10.3,6.7,0.067,0
79.1,0.77,0.001,19.1,24.8,54.8,0.2013,2
65.8,-2.4,0.41,26.7,6.2,46.0,0.2852,2
71.1,0.68,0.001,13.4,18.1,26.0,0.0356,0
103.0,0.19,0.007,1.7,83.1,17.6,0.056,0
52.5,-0.49,0.074,8.7,61.5,25.1,0.0528,0
59.5,0.21,0.002,3.3,12.3,24.2,0.0967,1
45.0,4.59,0.0,8.3,7.6,13.1,0.0627,0
61.6,-3.45,0.316,2.3,118.0,17.0,0.0298,0
62.0,-0.24,0.039,1.5,6.1,17.3,0.1323,1
89.9,1.46,0.004,2.1,42.7,47.5,0.1075,1
93.3,-2.24,0.288,22.3,77.9,34.7,0.1634,1
92.1,0.67,0.001,0.6,120.0,2.6,0.0845,0
25.7,0.54,0.005,0.4,14.2,18.0,0.0,0
55.0,-2.86,0.258,2.1,13.8,0.8,0.1953,1
46.4,-1.05,0.125,8.4,27.9,12.3,0.0,0
66.3,3.21,0.007,0.9,12.7,24.5,0.0,0
120.2,-2.86,0.505,7.3,6.7,0.2,0.403,2
40.4,-0.79,0.11,12.7,9.1,2.7,0.1323,1
44.1,-0.3,0.057,7.8,2.2,28.6,0.1799,1
65.1,0.01,0.006,14.6,6.6,8.4,0.1669,1
52.9,-0.74,0.084,7.3,5.1,22.5,0.1433,1
46.0,0.15,0.0,1.0,15.5,27.6,0.006,0
75.4,-0.06,0.035,11.1,96.3,17.1,0.1166,1
69.3,1.28,0.005,4.0,28.4,28.8,0.0506,0
40.2,1.52,0.004,7.3,5.3,13.0,0.1659,1
16.9,0.79,0.003,52.6,59.7,22.9,0.0638,0
117.1,0.43,0.002,3.2,4.3,20.6,0.2015,2
45.5,-2.81,0.23,17.2,18.7,46.0,0.102,1
133.2,0.21,0.006,8.3,25.5,1.7,0.2114,2
121.9,2.01,0.002,24.7,11.2,20.9,0.1483,1
87.5,-2.9,0.484,24.2,39.9,15.5,0.1363,1
30.4,-2.37,0.266,12.5,3.6,37.6,0.1866,1
40.1,2.69,0.006,3.6,18.7,37.0,0.1352,1
68.5,-2.7,0.239,30.2,10.3,39.8,0.174,1
42.1,-0.18,0.039,18.0,1.0,31.8,0.2655,2
60.4,-0.99,0.16,34.0,15.8,45.9,0.1888,1
11.7,2.58,0.002,35.1,12.8,47.4,0.1384,1
105.9,0.55,0.005,5.8,5.0,14.1,0.1272,1
80.5,1.42,0.003,1.0,12.0,12.0,0.0594,0
56.3,0.1,0.007,7.0,4.6,5.4,0.215,2
140.7,3.59,0.006,1.3,14.5,13.0,0.2789,2
45.3,-1.34,0.161,6.7,13.7,33.7,0.0669,0
139.5,0.62,0.001,8.0,23.8,41.2,0.2395,2
19.7,2.26,0.004,8.6,8.1,20.3,0.1228,1
12.2,2.67,0.004,0.1,5.5,10.2,0.1431,1
107.9,-0.48,0.062,19.4,31.3,0.0,0.1267,1
46.3,-3.65,0.43,6.1,38.5,0.0,0.1816,1
75.6,-0.69,0.059,12.3,1.3,8.1,0.2224,2
97.9,3.14,0.002,1.2,18.5,14.2,0.0735,0
115.2,-1.37,0.152,13.7,16.3,41.6,0.2194,2
43.0,0.52,0.001,5.8,14.4,8.8,0.0283,0
72.2,-0.55,0.111,13.5,1.0,42.4,0.3046,2
68.7,-0.13,0.015,26.0,19.6,26.9,0.0,0
11.5,2.36,0.004,13.1,25.4,0.5,0.0711,0
78.0,0.46,0.007,9.5,43.0,11.8,0.1326,1
94.6,3.68,0.007,12.3,37.5,38.0,0.1968,2
90.0,1.76,0.006,13.5,6.1,10.4,0.1915,1
81.3,0.24,0.006,7.0,67.3,16.9,0.0588,0
91.0,-0.17,0.056,18.1,2.1,14.5,0.2812,2
97.6,0.6,0.007,8.1,20.0,26.6,0.1087,1
41.0,-2.22,0.196,10.0,6.3,6.5,0.1303,1
131.4,-1.9,0.308,5.5,28.6,22.8,0.0739,0
104.1,1.36,0.007,30.6,42.0,18.4,0.1766,1
53.1,1.66,0.002,7.2,42.0,16.1,0.0281,0
48.9,-2.38,0.35,2.4,7.8,0.0,0.2011,2
55.1,1.55,0.0,3.8,13.1,14.8,0.0874,0
88.2,-0.32,0.049,1.6,11.2,19.4,0.1073,1
108.9,-1.5,0.132,1.3,2.4,24.0,0.2331,2
131.5,-0.57,0.104,26.8,40.2,24.7,0.2363,2
55.6,1.6,0.002,10.9,10.6,28.7,0.0954,0
30.0,1.1,0.0,0.0,13.6,41.4,0.08,0
48.2,0.54,0.002,16.7,28.5,49.9,0.1731,1
40.4,0.68,0.005,7.6,24.7,17.8,0.0,0
92.6,-2.05,0.199,1.2,45.3,25.5,0.1449,1
54.3,0.98,0.006,6.0,14.5,19.7,0.02,0
48.6,-0.82,0.158,4.6,54.9,27.8,0.0458,0
56.5,3.64,0.0,3.9,111.4,53.4,0.2131,2
47.7,-0.68,0.125,6.2,10.9,28.3,0.0309,0
38.5,4.01,0.006,10.2,4.5,34.5,0.1986,2
126.6,-0.29,0.068,7.7,4.6,1.4,0.3261,2
37.6,-0.17,0.04,3.3,12.2,21.5,0.0328,0
91.9,-0.53,0.056,12.9,13.3,22.1,0.0199,0
27.4,-2.26,0.321,44.9,81.9,0.3,0.212,2
84.5,2.39,0.003,33.8,48.5,34.5,0.1632,1
129.6,0.17,0.005,56.9,91.7,24.6,0.2943,2
41.4,1.13,0.004,6.7,21.5,33.3,0.0414,0
34.5,2.91,0.005,0.4,1.0,3.7,0.204,2
60.5,-0.24,0.055,13.0,10.3,42.0,0.1455,1
26.6,-0.17,0.046,10.9,49.2,1.6,0.1363,1
33.0,0.26,0.001,34.1,19.3,4.0,0.1274,1
147.5,-2.31,0.343,4.6,24.2,8.3,0.2511,2
100.8,-3.29,0.267,51.4,24.0,7.2,0.2572,2
32.5,-2.71,0.208,0.7,91.0,42.8,0.1097,1
111.9,2.23,0.002,4.4,19.1,18.0,0.1143,1
48.2,-0.59,0.065,13.5,30.1,8.2,0.0313,0
83.0,1.41,0.0,9.6,2.6,37.8,0.2938,2
64.2,-0.47,0.051,2.3,14.8,33.0,0.0391,0
103.1,-2.84,0.194,4.4,55.4,54.5,0.2635,2
86.7,1.56,0.006,1.8,31.9,0.0,0.1463,1
46.3,-1.6,0.176,52.0,16.0,33.2,0.1258,1
34.2,1.04,0.007,7.2,33.2,41.0,0.0789,0
24.7,1.66,0.003,20.2,3.3,18.5,0.151,1
89.0,-0.08,0.027,5.0,40.8,18.2,0.0057,0
21.6,0.85,0.006,2.8,40.9,25.3,0.0,0
66.2,-2.56,0.322,6.7,37.9,21.7,0.0841,0
66.0,5.27,0.003,14.7,19.9,14.7,0.1618,1
59.0,0.79,0.005,24.1,1.0,37.1,0.2697,2
79.0,1.41,0.003,2.1,41.6,37.1,0.1816,1
31.4,1.68,0.002,1.4,1.3,23.6,0.2186,2
28.9,-0.25,0.042,1.8,83.2,18.7,0.0029,0
85.4,0.14,0.003,3.6,25.8,35.1,0.2002,2
45.7,1.95,0.004,9.1,1.0,30.6,0.2318,2
90.4,-0.66,0.058,13.4,2.8,7.3,0.2057,2
67.6,0.7,0.005,4.5,25.0,42.3,0.1215,1
85.8,0.84,0.007,25.1,120.0,10.4,0.1136,1
52.2,-1.32,0.143,6.2,2.3,15.5,0.1693,1
41.3,0.8,0.004,6.7,1.8,5.2,0.204,2
136.5,-3.05,0.488,21.7,28.2,14.8,0.283,2
142.3,1.65,0.001,0.6,24.3,31.8,0.2173,2
123.6,2.83,0.003,9.4,50.7,0.0,0.2016,2
78.2,1.63,0.001,8.2,49.6,22.2,0.0505,0
66.1,2.7,0.004,5.1,25.0,11.9,0.0272,0
17.1,-1.37,0.209,5.7,8.9,27.0,0.0188,0
79.3,-0.4,0.065,11.7,29.4,0.8,0.1013,1
41.0,0.23,0.006,8.4,5.1,51.6,0.219,2
23.4,0.23,0.005,10.7,2.7,47.5,0.268,2
76.6,-0.79,0.117,5.8,29.6,16.7,0.0,0
141.5,-1.64,0.147,5.2,13.8,22.5,0.1967,1
22.7,3.11,0.004,7.3,34.9,35.1,0.0674,0
62.8,-1.5,0.184,5.5,2.0,29.0,0.1678,1
47.3,2.98,0.0,18.7,119.8,9.2,0.1777,1
85.7,0.89,0.006,20.6,18.1,39.1,0.1837,1
91.8,0.37,0.002,0.8,55.7,23.7,0.0468,0
47.5,0.98,0.003,0.6,16.4,26.2,0.0,0
48.3,2.74,0.003,3.4,7.1,13.3,0.0659,0
96.6,-4.72,0.403,0.9,9.7,15.2,0.1421,1
39.1,0.65,0.007,7.8,57.0,33.3,0.0894,0
23.3,0.27,0.001,0.2,30.2,5.8,0.0203,0
77.4,0.33,0.007,15.4,5.3,47.7,0.2489,2
66.4,1.69,0.005,10.5,10.8,20.2,0.0,0
71.8,-1.1,0.134,2.4,1.0,24.6,0.2083,2
108.2,-2.07,0.161,4.0,25.7,22.4,0.1163,1
99.1,-2.49,0.265,3.6,11.7,24.6,0.0824,0
66.0,-1.63,0.148,25.6,1.4,14.4,0.2509,2
65.0,1.24,0.005,21.8,43.5,45.5,0.1908,1
35.3,0.91,0.004,8.3,14.2,20.1,0.0637,0
20.8,1.59,0.005,4.5,34.4,3.3,0.1195,1
68.5,-0.83,0.095,6.2,22.9,30.4,0.0945,0
92.0,-0.75,0.093,8.4,15.9,0.0,0.1121,1
111.8,2.98,0.002,6.8,2.8,4.4,0.3733,2
116.6,1.84,0.002,0.6,24.8,36.0,0.1625,1
116.8,1.35,0.004,6.2,20.3,14.9,0.0917,0
91.3,-3.28,0.331,25.3,111.1,22.7,0.1169,1
46.2,3.52,0.0,5.3,21.9,22.9,0.1371,1
53.4,-0.17,0.018,12.1,19.5,12.1,0.0484,0
97.6,0.31,0.006,58.3,70.7,0.0,0.3149,2
76.4,0.81,0.0,8.0,16.3,36.2,0.0662,0
102.0,0.3,0.001,6.6,5.5,43.7,0.2137,2
70.6,-0.31,0.056,3.1,12.5,2.8,0.1013,1
68.3,0.26,0.004,2.6,8.6,24.9,0.0,0
66.5,1.15,0.003,8.1,17.7,26.3,0.0,0
52.8,1.53,0.003,11.3,53.6,2.7,0.1215,1
126.5,2.2,0.006,5.6,1.0,4.4,0.3292,2
50.7,-1.98,0.21,0.0,18.8,26.3,0.0524,0
84.3,-0.98,0.104,8.2,21.1,0.0,0.1299,1
45.2,1.54,0.002,8.5,8.3,24.3,0.1267,1
124.5,-2.83,0.346,0.8,19.4,27.8,0.1756,1
30.4,0.29,0.007,1.1,56.2,37.5,0.009,0
38.9,-1.41,0.224,3.6,49.8,16.9,0.0754,0
100.7,0.99,0.002,9.1,5.5,9.1,0.1298,1
79.3,-1.52,0.227,1.9,18.5,30.5,0.0978,1
52.7,-0.65,0.128,4.2,32.9,17.6,0.0056,0
92.6,-0.52,0.047,1.6,75.8,3.0,0.1221,1
64.5,0.44,0.004,4.1,34.7,0.0,0.1355,1
52.7,1.72,0.004,13.0,27.0,25.8,0.0582,0
55.4,1.86,0.005,4.7,7.0,27.9,0.0854,0
113.9,0.37,0.001,17.0,17.7,19.9,0.1382,1
94.9,-2.0,0.186,26.2,12.7,19.5,0.0583,0
87.9,4.64,0.002,3.7,12.9,46.8,0.1919,1
71.8,-0.15,0.028,9.7,7.3,18.2,0.065,0
62.1,0.49,0.004,3.0,10.2,4.0,0.0605,0
46.4,0.44,0.002,8.4,34.1,16.4,0.0258,0
113.0,0.64,0.007,1.3,12.7,18.8,0.0638,0
26.3,-1.52,0.262,9.2,1.6,30.0,0.1866,1
19.0,0.79,0.001,1.9,1.3,12.3,0.2621,2
90.8,3.28,0.0,5.0,5.7,15.7,0.1821,1
53.7,-3.62,0.493,2.7,6.3,24.7,0.1277,1
116.9,0.06,0.006,15.9,71.0,13.3,0.1427,1
98.2,-2.02,0.258,2.0,21.7,13.1,0.1397,1
66.7,1.78,0.004,33.1,40.2,5.0,0.1427,1
99.3,2.05,0.005,1.3,2.5,33.3,0.3504,2
108.3,-0.23,0.055,5.3,3.3,24.8,0.2109,2
110.3,0.11,0.0,14.6,1.9,28.3,0.2348,2
59.5,-1.59,0.225,1.2,25.0,14.7,0.0872,0
20.0,-4.24,0.308,3.8,21.6,38.3,0.1947,1
3.8,-0.49,0.091,6.0,12.1,23.2,0.0323,0
110.1,-0.38,0.056,14.4,2.0,53.6,0.3595,2
68.2,0.08,0.004,15.5,14.2,23.2,0.0705,0
37.8,-5.9,0.429,19.3,12.4,21.7,0.1778,1
77.2,-3.11,0.401,3.7,2.6,21.5,0.2252,2
77.1,-2.67,0.243,0.2,10.9,12.2,0.106,1
77.1,0.15,0.006,12.7,45.4,23.6,0.0326,0
54.0,1.05,0.006,1.9,56.5,23.3,0.0416,0
93.5,-2.09,0.275,4.9,7.2,16.5,0.1324,1
32.6,-0.5,0.075,16.3,8.4,16.7,0.1552,1
57.1,-1.04,0.085,9.4,8.4,20.9,0.067,0
39.7,3.66,0.0,20.7,24.6,10.2,0.0383,0
94.5,-0.69,0.11,10.6,11.7,21.6,0.0855,0
43.1,-0.77,0.11,4.8,27.7,30.0,0.0238,0
24.0,-1.47,0.237,0.3,1.0,7.3,0.2171,2
81.3,-3.42,0.299,0.1,24.0,31.5,0.0519,0
80.4,1.16,0.003,2.9,12.2,12.5,0.0486,0
26.8,-0.48,0.052,10.4,24.7,19.4,0.0,0
103.7,-0.7,0.092,12.5,61.9,28.9,0.1249,1
72.0,0.33,0.003,4.2,82.0,17.2,0.0138,0
52.9,-2.84,0.239,18.7,20.0,25.5,0.108,1
10.1,3.19,0.006,28.7,4.9,10.9,0.1592,1
93.2,-3.28,0.405,3.5,65.2,24.8,0.105,1
78.0,3.2,0.005,4.3,16.4,27.4,0.0594,0
81.9,-0.03,0.011,5.2,11.2,14.3,0.1116,1
92.7,-0.7,0.101,3.3,3.9,21.3,0.2026,2
16.2,1.21,0.002,10.4,61.2,52.1,0.1551,1
56.5,-0.62,0.104,24.0,84.3,17.5,0.0054,0
111.3,1.68,0.001,5.6,82.8,14.1,0.1275,1
29.2,0.55,0.006,2.0,15.6,16.9,0.0758,0
68.2,1.28,0.005,2.2,47.8,18.9,0.0469,0
25.2,1.87,0.005,12.8,30.3,39.4,0.1188,1
91.4,-0.31,0.062,13.3,15.8,22.9,0.1083,1
68.4,1.74,0.004,6.5,44.2,21.4,0.0732,0
92.4,0.93,0.001,14.3,15.9,16.5,0.0753,0
85.9,2.4,0.007,7.1,38.6,35.6,0.1474,1
120.9,-0.66,0.063,3.6,76.8,26.0,0.0968,1
125.7,2.46,0.0,1.5,27.2,22.4,0.2105,2
21.4,-1.39,0.143,7.3,68.3,21.8,0.0259,0
81.1,-3.61,0.263,18.1,19.1,17.5,0.0836,0
123.7,-2.46,0.286,26.0,6.5,9.5,0.3354,2
71.1,-0.6,0.104,0.6,20.8,18.2,0.1227,1
135.2,0.47,0.0,25.1,19.8,21.1,0.2038,2
59.4,0.03,0.002,2.0,7.6,12.8,0.0119,0
99.2,1.42,0.002,9.3,29.0,49.3,0.2063,2
131.2,-2.16,0.321,5.7,4.2,29.8,0.2187,2
33.8,3.1,0.0,12.1,16.7,19.6,0.0,0
63.8,2.42,0.002,7.5,7.1,25.3,0.1469,1
128.6,1.68,0.005,4.9,97.7,21.0,0.1659,1
90.5,2.28,0.005,0.7,5.6,18.4,0.1373,1
87.2,-2.79,0.371,0.3,74.4,37.1,0.2456,2
104.9,1.26,0.004,2.7,66.2,52.2,0.1758,1
72.1,1.33,0.001,13.7,11.0,10.0,0.0745,0
91.7,1.74,0.005,9.6,1.0,22.5,0.3283,2
83.6,1.52,0.007,5.4,32.8,21.1,0.0578,0
52.6,0.8,0.0,7.7,4.3,2.2,0.1724,1
68.7,0.73,0.003,8.9,25.4,23.8,0.0809,0
135.2,2.15,0.002,0.7,5.6,37.9,0.2597,2
43.6,-1.12,0.187,3.9,1.0,1.2,0.2721,2
113.7,0.66,0.002,21.1,1.0,25.5,0.3392,2
76.5,-1.0,0.077,13.2,25.6,15.1,0.066,0
101.9,-0.27,0.064,0.9,44.1,18.3,0.1245,1
105.2,-4.81,0.474,3.2,50.9,54.6,0.277,2
86.7,-1.57,0.222,2.3,24.1,25.9,0.1485,1
55.0,-0.79,0.073,4.8,10.3,26.4,0.0178,0
123.1,-0.76,0.135,40.4,21.2,13.8,0.2435,2
105.4,-0.6,0.117,8.6,27.7,36.8,0.1636,1
80.5,-2.13,0.379,1.7,24.1,12.6,0.1261,1
81.1,-0.6,0.057,15.4,6.8,35.5,0.1859,1
44.0,1.95,0.006,8.8,23.6,8.8,0.0,0
97.0,-0.54,0.072,19.8,13.4,25.8,0.0932,0
123.4,2.34,0.005,6.7,15.1,21.7,0.1255,1
37.1,2.22,0.006,22.1,29.7,27.7,0.1045,1
40.5,-1.06,0.121,19.4,26.7,16.3,0.0014,0
79.9,1.02,0.007,0.7,5.6,35.4,0.2061,2
44.6,-2.36,0.354,17.4,1.0,16.6,0.236,2
67.6,-1.9,0.291,1.3,48.3,2.7,0.0799,0
67.4,0.2,0.001,1.2,30.1,0.0,0.1387,1
40.6,0.92,0.001,1.7,55.7,18.4,0.0254,0
110.1,2.9,0.002,25.3,7.8,32.7,0.2456,2
98.1,-0.29,0.036,6.8,108.0,22.4,0.0309,0
84.0,0.32,0.004,3.9,14.2,3.2,0.0733,0
66.3,0.18,0.004,0.6,62.0,40.4,0.1743,1
85.3,3.23,0.006,1.2,25.7,6.2,0.1371,1
11.9,2.42,0.0,2.1,8.1,51.2,0.1016,1
33.8,0.69,0.002,2.1,10.2,28.7,0.0576,0
74.7,1.43,0.007,0.8,25.1,2.0,0.0733,0
69.1,0.63,0.001,0.8,28.5,4.9,0.0971,1
86.5,1.93,0.001,3.5,20.0,30.3,0.1403,1
70.7,1.55,0.002,7.9,73.9,31.4,0.045,0
49.9,-0.54,0.093,8.5,26.5,15.8,0.0121,0
110.5,0.18,0.004,3.4,4.5,35.2,0.2527,2
55.0,0.29,0.004,0.8,1.4,6.8,0.2094,2
58.2,0.27,0.007,9.4,43.9,20.4,0.0,0
132.4,-0.91,0.076,10.7,8.6,34.6,0.2202,2
23.3,0.61,0.007,12.0,94.1,3.0,0.116,1
59.2,-0.92,0.078,26.3,33.0,16.5,0.0108,0
76.5,-1.05,0.156,0.4,8.7,14.3,0.0793,0
56.2,-0.21,0.041,2.4,75.7,16.5,0.0,0
48.1,0.48,0.001,8.5,1.6,19.0,0.2139,2
56.6,2.21,0.001,0.1,17.3,16.5,0.0131,0
50.0,1.28,0.003,0.5,4.5,38.9,0.19,1
106.7,2.0,0.007,5.0,64.4,14.2,0.1034,1
6.4,3.19,0.001,8.6,1.0,17.8,0.136,1
81.5,-1.05,0.17,11.5,33.1,11.1,0.0668,0
58.0,1.28,0.005,2.9,49.6,6.8,0.0187,0
77.2,1.35,0.004,9.7,8.1,24.8,0.0567,0
83.0,0.46,0.0,4.6,32.7,35.5,0.0675,0
32.0,1.61,0.004,8.1,2.3,1.9,0.2343,2
80.9,0.16,0.003,11.1,4.3,27.3,0.1459,1
21.6,1.21,0.006,2.9,79.9,20.2,0.0038,0
28.1,-2.55,0.393,4.4,6.4,34.1,0.1441,1
98.0,0.0,0.007,8.1,8.6,19.1,0.0811,0
57.4,1.28,0.001,2.6,55.9,3.5,0.0711,0
116.0,1.85,0.007,28.1,8.7,45.5,0.3327,2
67.4,-1.55,0.152,12.9,18.2,36.7,0.1134,1
57.2,-0.15,0.037,9.9,8.8,18.7,0.0561,0
65.7,-1.91,0.229,13.1,31.3,33.5,0.1241,1
53.6,-0.7,0.1,2.7,89.0,37.8,0.0933,0
51.1,0.57,0.007,0.1,3.1,22.2,0.1155,1
32.2,1.86,0.007,10.4,40.4,20.5,0.0,0
96.1,1.63,0.005,33.4,21.1,33.8,0.1517,1
82.9,0.4,0.004,10.7,19.5,27.6,0.0039,0
101.9,-1.17,0.113,1.9,24.2,33.3,0.1632,1
70.3,-0.25,0.049,19.6,43.1,28.3,0.0455,0
109.2,4.57,0.002,8.6,30.8,23.7,0.2517,2
57.4,-2.52,0.403,9.6,17.5,28.4,0.0574,0
65.5,-2.17,0.371,7.2,1.0,22.0,0.2829,2
114.3,0.32,0.006,13.2,12.8,9.4,0.1187,1
100.0,1.27,0.006,32.0,57.2,24.5,0.1344,1
101.7,1.55,0.007,4.7,21.5,15.4,0.0788,0
29.9,0.52,0.001,8.7,12.1,12.1,0.0091,0
80.9,-2.74,0.21,19.3,1.7,53.7,0.406,2
103.4,-0.4,0.083,21.1,86.2,8.3,0.1215,1
88.5,-3.18,0.384,17.3,6.6,0.0,0.2476,2
101.7,0.71,0.007,8.2,27.4,27.1,0.0199,0
116.7,0.82,0.003,27.5,22.5,14.3,0.1364,1
32.9,-0.23,0.043,1.9,4.5,22.8,0.1336,1
52.0,-2.13,0.291,2.3,5.9,18.4,0.1056,1
120.9,-1.47,0.155,2.4,70.4,30.2,0.1432,1
75.8,-2.92,0.243,5.1,120.0,15.3,0.0969,1
11.9,-0.09,0.017,11.0,11.4,7.4,0.0,0
17.5,5.7,0.001,5.5,17.3,28.5,0.2238,2
65.0,-0.18,0.043,29.9,18.3,0.0,0.2105,2
82.5,-0.76,0.108,2.8,3.4,22.2,0.2077,2
43.9,0.39,0.003,16.8,91.0,22.1,0.0506,0
66.0,-2.07,0.18,15.2,9.1,26.5,0.0432,0
37.7,-2.01,0.163,4.0,14.4,44.1,0.0383,0
70.3,-1.11,0.094,6.4,53.3,16.2,0.0494,0
15.5,1.59,0.007,14.3,30.3,24.7,0.0787,0
91.6,0.6,0.007,19.3,8.8,42.3,0.1952,1
81.1,-0.29,0.045,11.5,1.6,20.9,0.1881,1
87.2,1.35,0.001,25.5,3.6,11.8,0.1993,2
16.2,3.08,0.006,9.7,12.4,52.1,0.1275,1
53.5,1.33,0.006,5.2,14.7,47.8,0.1558,1
125.9,-1.83,0.199,9.8,16.4,6.2,0.125,1
64.2,-3.39,0.36,9.5,1.7,7.3,0.2674,2
104.5,-3.14,0.237,8.0,1.0,20.5,0.3049,2
69.4,1.56,0.004,3.7,24.4,6.9,0.1485,1
47.4,-1.36,0.213,11.0,4.4,26.1,0.1033,1
139.3,1.47,0.002,16.1,26.7,8.8,0.201,2
92.3,-0.82,0.075,31.9,4.1,28.3,0.2804,2
128.9,0.7,0.005,6.9,19.9,10.4,0.091,0
37.1,1.26,0.007,14.0,8.0,26.9,0.1324,1
